timestamp,Infrared to Red Signal Ratio
01/12/22 00:42:31,0
01/12/22 00:43:31,0
01/12/22 00:44:31,0
01/12/22 00:45:31,0
01/12/22 00:46:32,0
01/12/22 00:47:32,0
01/12/22 00:48:32,0
01/12/22 00:49:32,0
01/12/22 00:50:32,0
01/12/22 00:51:32,2
01/12/22 00:52:32,32
01/12/22 00:53:33,0
01/12/22 00:54:33,-2
01/12/22 00:55:33,0
01/12/22 00:56:33,6
01/12/22 00:57:33,17
01/12/22 00:58:33,-10
01/12/22 00:59:34,0
01/12/22 01:00:34,-30
01/12/22 01:01:34,0
01/12/22 01:02:34,23
01/12/22 01:03:34,25
01/12/22 01:04:34,21
01/12/22 01:05:34,27
01/12/22 01:06:35,1
01/12/22 01:07:35,3
01/12/22 01:08:35,5
01/12/22 01:09:35,0
01/12/22 01:10:35,26
01/12/22 01:11:35,0
01/12/22 01:12:35,-1
01/12/22 01:13:36,-18
01/12/22 01:14:36,4
01/12/22 01:15:36,-7
01/12/22 01:16:36,0
01/12/22 01:17:36,1
01/12/22 01:18:36,-2
01/12/22 01:19:37,32
01/12/22 01:20:37,35
01/12/22 01:21:37,37
01/12/22 01:22:37,8
01/12/22 01:23:37,13
01/12/22 01:24:37,31
01/12/22 01:25:37,21
01/12/22 01:26:38,-6
01/12/22 01:27:38,15
01/12/22 01:28:38,12
01/12/22 01:29:38,5
01/12/22 01:30:38,-8
01/12/22 01:31:38,0
01/12/22 01:32:38,-1
01/12/22 01:33:39,-19
01/12/22 01:34:39,13
01/12/22 01:35:39,22
01/12/22 01:36:39,20
01/12/22 01:37:39,0
01/12/22 01:38:39,33
01/12/22 01:39:40,-8
01/12/22 01:40:40,0
01/12/22 01:41:40,9
01/12/22 01:42:40,4
01/12/22 01:43:40,1
01/12/22 01:44:40,45
01/12/22 01:45:40,5
01/12/22 01:46:41,3
01/12/22 01:47:41,2
01/12/22 01:48:41,2
01/12/22 01:49:41,49
01/12/22 01:50:41,-30
01/12/22 01:51:41,-5
01/12/22 01:52:41,18
01/12/22 01:53:42,0
01/12/22 01:54:42,0
01/12/22 01:55:42,1
01/12/22 01:56:42,34
01/12/22 01:57:42,-10
01/12/22 01:58:42,78
01/12/22 01:59:43,-17
01/12/22 02:00:43,26
01/12/22 02:01:43,21
01/12/22 02:02:43,6
01/12/22 02:03:43,-1
01/12/22 02:04:43,46
01/12/22 02:05:43,21
01/12/22 02:06:44,66
01/12/22 02:07:44,26
01/12/22 02:08:44,-35
01/12/22 02:09:44,0
01/12/22 02:10:44,-4
01/12/22 02:11:44,-3
01/12/22 02:12:44,-52
01/12/22 02:13:45,-19
01/12/22 02:14:45,17
01/12/22 02:15:45,1
01/12/22 02:16:45,-23
01/12/22 02:17:45,25
01/12/22 02:18:45,-6
01/12/22 02:19:46,15
01/12/22 02:20:46,-3
01/12/22 02:21:46,0
01/12/22 02:22:46,0
01/12/22 02:23:46,26
01/12/22 02:24:46,2
01/12/22 02:25:46,5
01/12/22 02:26:47,4
01/12/22 02:27:47,-2
