timestamp,average_value,lower_bound,upper_bound
2022-03-09T00:00:00Z,95.9,93.7,99.3
2022-03-10T00:00:00Z,95.8,94.6,97.2
2022-03-11T00:00:00Z,96.6,95.4,97.8
2022-03-12T00:00:00Z,95.8,91.3,99.5
2022-03-13T00:00:00Z,97.6,95.5,100.0
2022-03-14T00:00:00Z,96.5,94.7,100.0
2022-03-15T00:00:00Z,94.7,92.2,96.8
2022-03-16T00:00:00Z,95.3,93.1,97.6
2022-03-17T00:00:00Z,95.1,92.5,97.4
2022-03-18T00:00:00Z,95.9,91.9,97.6
2022-03-19T00:00:00Z,96.8,94.4,99.3
2022-03-20T00:00:00Z,96.2,94.3,99.3
2022-03-21T00:00:00Z,97.0,95.3,98.4
2022-03-22T00:00:00Z,96.5,94.6,98.7
2022-03-23T00:00:00Z,96.9,95.2,99.7
2022-03-24T00:00:00Z,96.8,96.0,97.9
2022-03-25T00:00:00Z,96.7,95.8,97.4
2022-03-26T00:00:00Z,95.4,93.6,97.6
2022-03-27T00:00:00Z,95.8,94.1,98.4
2022-03-28T00:00:00Z,94.7,91.9,96.0
2022-03-29T00:00:00Z,96.6,93.8,99.9
2022-03-30T00:00:00Z,96.1,95.2,97.7
2022-03-31T00:00:00Z,95.1,94.1,95.9
2022-04-01T00:00:00Z,96.0,93.8,98.2
2022-04-02T00:00:00Z,95.2,93.4,96.5
2022-04-03T00:00:00Z,94.8,92.0,97.8
2022-04-04T00:00:00Z,96.7,95.1,97.3
2022-04-05T00:00:00Z,94.7,92.4,97.5
2022-04-06T00:00:00Z,95.8,92.5,97.7
2022-04-07T00:00:00Z,96.2,94.6,98.2
2022-04-08T00:00:00Z,95.8,93.3,97.4
2022-04-09T00:00:00Z,96.2,95.1,99.2
2022-04-10T00:00:00Z,94.9,93.0,97.4
2022-04-12T00:00:00Z,95.3,94.1,96.8
2022-04-13T00:00:00Z,97.2,96.1,98.3
2022-04-14T00:00:00Z,95.0,91.6,97.4
2022-04-15T00:00:00Z,95.0,87.4,98.6
2022-04-16T00:00:00Z,97.3,95.1,100.0
2022-04-17T00:00:00Z,96.6,95.5,97.6
2022-04-18T00:00:00Z,96.4,93.7,99.4
2022-04-19T00:00:00Z,96.3,94.9,97.4
2022-04-20T00:00:00Z,95.5,93.2,97.4
2022-04-21T00:00:00Z,96.2,94.8,97.4
2022-04-22T00:00:00Z,95.2,95.1,97.1
2022-04-23T00:00:00Z,94.3,91.8,96.8
2022-04-24T00:00:00Z,96.6,95.1,98.5
2022-04-25T00:00:00Z,96.1,93.7,99.1
