timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-03-01T09:24:30,13.6,1.2,16.216,13.6,1.2,16.216,13.8,1.2,10.177,13.8,1.7,5.292
2022-03-02T08:03:00,13.2,0.5,10.249,13.2,0.5,10.249,13.6,1.3,13.857,14.2,1.0,5.388
2022-03-03T09:20:30,13.4,0.9,10.891,13.4,0.9,10.891,12.8,1.0,15.498,13.4,0.9,4.926
2022-03-04T11:09:00,15.2,1.3,5.08,15.2,1.3,5.08,14.4,1.5,4.589,-1.0,0.0,2.133
2022-03-05T10:43:30,13.8,1.0,12.543,13.8,1.0,12.543,13.6,1.1,13.037,13.8,1.3,5.624
2022-03-06T07:30:00,13.2,0.6,11.389,13.2,0.6,11.389,14.2,1.0,10.971,-1.0,0.0,1.931
2022-03-07T09:33:30,13.4,0.7,14.138,13.4,0.7,14.138,13.2,1.3,10.525,13.0,1.8,3.129
2022-03-08T09:50:30,14.2,1.2,10.387,14.2,1.2,10.387,13.2,1.3,18.286,13.0,1.6,6.198
2022-03-09T08:56:30,14.0,1.3,8.996,14.0,1.3,8.996,13.0,1.1,21.932,13.0,1.3,7.362
2022-03-10T09:47:30,15.0,0.8,10.22,15.0,0.8,10.22,13.4,1.4,16.803,12.8,1.4,5.097
2022-03-11T09:35:30,13.0,0.6,13.429,13.0,0.6,13.429,13.6,1.0,12.12,12.0,0.5,3.855
2022-03-12T10:48:00,15.0,0.9,7.915,15.0,0.9,7.915,13.4,1.3,21.068,12.8,1.7,6.748
2022-03-13T06:59:30,14.0,1.3,9.265,14.0,1.3,9.265,12.8,0.7,13.765,13.8,1.2,6.54
2022-03-13T09:00:00,14.0,1.3,9.923,14.0,1.3,9.923,13.2,1.0,10.608,13.8,1.1,5.886
2022-03-14T07:40:00,14.0,0.9,13.073,14.0,0.9,13.073,13.2,1.5,10.705,14.2,1.5,6.522
2022-03-15T08:13:30,14.2,1.4,11.03,14.2,1.4,11.03,14.6,1.4,10.96,14.4,0.6,3.827
2022-03-16T08:50:00,14.4,1.2,10.872,14.4,1.2,10.872,13.0,1.1,22.307,13.0,1.5,4.583
2022-03-17T09:27:30,15.0,1.0,9.121,15.0,1.0,9.121,14.0,1.4,15.532,14.2,1.4,4.07
2022-03-18T08:05:30,12.8,0.7,11.954,12.8,0.7,11.954,13.4,1.3,10.877,14.2,1.3,3.877
2022-03-19T11:58:30,14.0,1.2,10.245,14.0,1.2,10.245,13.6,1.4,11.046,14.4,1.2,4.34
2022-03-20T10:57:30,15.4,1.2,10.468,15.4,1.2,10.468,13.8,1.3,15.169,14.2,1.6,4.44
2022-03-21T08:11:30,14.8,1.0,12.124,14.8,1.0,12.124,13.2,1.1,14.176,13.4,1.8,6.171
2022-03-22T08:31:30,13.8,1.6,9.496,13.8,1.6,9.496,12.8,1.2,10.782,13.0,1.7,6.729
2022-03-23T09:42:30,14.0,1.4,12.853,14.0,1.4,12.853,13.0,1.0,11.134,13.2,1.3,5.605
2022-03-24T08:47:30,13.4,0.8,8.59,13.4,0.8,8.59,13.4,1.0,11.735,13.6,0.8,4.983
2022-03-25T08:50:30,14.8,1.1,5.408,14.8,1.1,5.408,13.8,1.1,8.212,13.6,1.0,4.795
2022-03-26T09:23:30,17.0,1.4,6.611,17.0,1.4,6.611,14.8,1.7,3.108,-1.0,0.0,1.98
2022-03-27T11:32:30,14.8,0.7,9.192,14.8,0.7,9.192,14.2,1.2,8.824,14.2,0.9,5.757
2022-03-28T08:43:30,15.2,0.9,11.015,15.2,0.9,11.015,14.2,1.6,6.894,-1.0,0.0,2.22
2022-03-29T10:04:30,14.0,0.9,8.809,14.0,0.9,8.809,13.4,1.1,23.341,13.8,0.9,4.348
2022-03-30T08:54:00,13.4,0.7,11.107,12.2,0.9,2.938,13.4,0.7,11.107,13.4,0.6,3.838
2022-03-31T11:32:30,13.6,0.8,13.962,13.6,0.8,13.962,13.0,1.0,18.209,13.4,1.5,4.037
